paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
Simulating a logistics enterprise using an asymmetrical wargame simulation with soar reinforcement learning and coevolutionary algorithms,Using domain knowledge in coevolution and reinforcement learning to simulate a logistics enterprise,Ying Zhao and Erik Hemberg and Nate Derbinsky and Gabino Mata and Una-May O'Reilly,Ying Zhao and Erik Hemberg and Nate Derbinsky and Gabino Mata and Una-May O'Reilly,0.9756
Meta-learning and self-supervised pretraining for storm event imagery translation,Meta-Learning and Self-Supervised Pretraining for Few-shot Image Translation,Ileana Rugina and Rumen Dangovski and Mark Veillette and Pooya Khorrami and Brian Cheung and Olga Simek and Marin Soljačić,Ileana Rugina,0.9755
DICE: data discovery by example,Towards data discovery by example,El Kindi Rezig and Anshul Bhandari and Anna Fariha and Benjamin Price and Allan Vanterpool and Vijay Gadepally and Michael Stonebraker,El Kindi Rezig and Allan Vanterpool and Vijay Gadepally and Benjamin Price and Michael Cafarella and Michael Stonebraker,0.9732
Polygeist: Raising C to polyhedral MLIR,Polygeist: Affine c in mlir,William S Moses and Lorenzo Chelini and Ruizhe Zhao and Oleksandr Zinenko,William S Moses and Lorenzo Chelini and Ruizhe Zhao and Oleksandr Zinenko,0.9729
Mosaic pages: Big tlb reach with small pages,Mosaic Pages: Big TLB Reach with Small,Krishnan Gosakan and Jaehyun Han and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martin Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,AMD Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Evan West and Michael A Bender and Abhishek Bhattacharjee and Martín Farach-Colton,0.9725
Bounding the last mile: Efficient learned string indexing,Learned String Index Structures for In-Memory Databases,Benjamin Spector and Andreas Kipf and Kapil Vaidya and Chi Wang and Umar Farooq Minhas and Tim Kraska,Benjamin Spector,0.9723
Accelerating training and inference of graph neural networks with fast sampling and pipelining,Communication-efficient graph neural networks with probabilistic neighborhood expansion analysis and caching,Tim Kaler and Nickolas Stathas and Anne Ouyang and Alexandros-Stavros Iliopoulos and Tao Schardl and Charles E Leiserson and Jie Chen,Tim Kaler and Alexandros Iliopoulos and Philip Murzynowski and Tao Schardl and Charles E Leiserson and Jie Chen,0.9718
The mit supercloud dataset,The mit supercloud workload classification challenge,Siddharth Samsi and Matthew L Weiss and David Bestor and Baolin Li and Michael Jones and Albert Reuther and Daniel Edelman and William Arcand and Chansup Byun and John Holodnack and Matthew Hubbell and Jeremy Kepner and Anna Klein and Joseph McDonald and Adam Michaleas and Peter Michaleas and Lauren Milechin and Julia Mullen and Charles Yee and Benjamin Price and Andrew Prout and Antonio Rosa and Allan Vanterpool and Lindsey McEvoy and Anson Cheng and Devesh Tiwari and Vijay Gadepally,Benny J Tang and Qiqi Chen and Matthew L Weiss and Nathan C Frey and Joseph McDonald and David Bestor and Charles Yee and William Arcand and William Bergeron and Chansup Byun and Daniel Edelman and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Adam Michaleas and Peter Michaleas and Lauren Milechin and Julia Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Andrew Bowne and Lindsey McEvoy and Baolin Li and Devesh Tiwari and Jiay Gadepally and Siddharth Samsi,0.9717
Achieving optimal backlog in multi-processor cup games,The variable-processor cup game,Michael A Bender and Martín Farach-Colton and William Kuszmaul,William Kuszmaul and Alek Westover,0.9712
Building HPC Learning Pathways: Understanding our Community,Developing HPC Learning Pathways: Challenges and Recommendations,Weronika Filinger and Julie Mullen and Jeremy Cohen and Samantha Wittke and Ann Backhaus,Weronika Filinger and Julie Mullen and Jeremy Cohen,0.9707
Mosaic pages: Big tlb reach with small pages,Mosaic pages: big TLB reach with small pages,Krishnan Gosakan and Jaehyun Han and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martin Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,Jaehyun Han and Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martín Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,0.9704
Understanding and increasing efficiency of frank-wolfe adversarial training,Fast training of deep neural networks robust to adversarial perturbations,Theodoros Tsiligkaridis and Jay Roberts,Justin Goodwin and Olivia Brown and Victoria Helus,0.9704
Harnessing mixed offline reinforcement learning datasets via trajectory weighting,Beyond uniform sampling: Offline reinforcement learning with imbalanced datasets,Zhang-Wei Hong and Pulkit Agrawal and Rémi Tachet des Combes and Romain Laroche,Zhang-Wei Hong and Aviral Kumar and Sathwik Karnik and Abhishek Bhandwaldar and Akash Srivastava and Joni Pajarinen and Romain Laroche and Abhishek Gupta and Pulkit Agrawal,0.9698
Optimal Non-Oblivious Open Addressing,Optimal Bounds for Open Addressing Without Reordering,Michael A Bender and William Kuszmaul and Renfei Zhou,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9697
DICE: Data Discovery by Example.,Examples are All You Need: Iterative Data Discovery by Example in Data Lakes,El Kindi Rezig and Anshul Bhandari and Anna Fariha and Benjamin Price and Allan Vanterpool and Vijay Gadepally and Michael Stonebraker,Anshul Bhandari El Kindi Rezig and Anna Fariha and Benjamin Price and Allan Vanterpool and Andrew Bowne and Lindsey McEvoy and Vijay Gadepally,0.9685
Social interactions as recursive mdps,Incorporating rich social interactions into mdps,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Boris Katz and Andrei Barbu,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Bennett Stankovits and Dan Gutfreund and Joshua B Tenenbaum and Boris Katz and Andrei Barbu,0.9681
DBOS: A dbms-oriented operating system,A polystore based database operating system (DBOS),Athinagoras Skiadopoulos and Qian Li and Peter Kraft and Kostis Kaffes and Daniel Hong and Shana Mathew and David Bestor and Michael Cafarella and Vijay Gadepally and Goetz Graefe and Jeremy Kepner and Christos Kozyrakis and Tim Kraska and Michael Stonebraker and Lalith Suresh and Matei Zaharia,Michael Cafarella and David DeWitt and Vijay Gadepally and Jeremy Kepner and Christos Kozyrakis and Tim Kraska and Michael Stonebraker and Matei Zaharia,0.9676
Maneuver identification challenge,AI enabled maneuver identification via the maneuver identification challenge,Kaira Samuel and Vijay Gadepally and David Jacobs and Michael Jones and Kyle McAlpin and Kyle Palko and Ben Paulk and Sid Samsi and Ho Chit Siu and Charles Yee and Jeremy Kepner,Kaira Samuel and Matthew LaRosa and Kyle McAlpin and Morgan Schaefer and Brandon Swenson and Devin Wasilefsky and Yan Wu and Dan Zhao and Jeremy Kepner,0.9674
"Finding and optimizing certified, collision-free regions in configuration space for robot manipulators","Finding and Optimizing Certified, Collision-Free Regions in Configuration Space for Robot Manipulators",Alexandre Amice and Hongkai Dai and Peter Werner and Annan Zhang and Russ Tedrake,Russ Tedrake,0.9672
Terrace: A hierarchical graph container for skewed dynamic graphs,Prashant Pandey,Prashant Pandey and Brian Wheatman and Helen Xu and Aydin Buluc,Helen Xu and Aydin Buluc,0.9664
Counting permutations modulo pattern-replacement equivalences for three-letter patterns,Equivalence Classes in  for Three Families of Pattern-Replacement Relations,William Kuszmaul,William Kuszmaul and Ziling Zhou,0.9663
Surrogate-and invariance-boosted contrastive learning for data-scarce applications in science,Overcoming Data Scarcity in Deep Learning of Scientific Problems,Charlotte Loh and Thomas Christensen and Rumen Dangovski and Samuel Kim and Marin Soljačić,Charlotte Chang Le Loh,0.9661
Meta-learning and self-supervised pretraining for real world image translation,Meta-Learning and Self-Supervised Pretraining for Few-shot Image Translation,Ileana Rugina and Rumen Dangovski and Mark Veillette and Pooya Khorrami and Brian Cheung and Olga Simek and Marin Soljačić,Ileana Rugina,0.9657
Tight Bounds for Classical Open Addressing,Optimal Non-Oblivious Open Addressing,Michael A Bender and William Kuszmaul and Renfei Zhou,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9656
Tight Bounds for Classical Open Addressing,Optimal Bounds for Open Addressing Without Reordering,Michael A Bender and William Kuszmaul and Renfei Zhou,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9655
Hydra: A real-time spatial perception system for 3D scene graph construction and optimization,Foundations of spatial perception for robotics: Hierarchical representations and real-time systems,Nathan Hughes and Yun Chang and Luca Carlone,Nathan Hughes and Yun Chang and Siyi Hu and Rajat Talak and Rumaia Abdulhai and Jared Strader and Luca Carlone,0.9651
Achieving optimal backlog in multi-processor cup games,How asymmetry helps buffer management: achieving optimal tail size in cup games,Michael A Bender and Martín Farach-Colton and William Kuszmaul,William Kuszmaul,0.9645
A data-based perspective on transfer learning,When does bias transfer in transfer learning?,Saachi Jain and Hadi Salman and Alaa Khaddaj and Eric Wong and Sung Min Park and Aleksander Mądry,Hadi Salman and Saachi Jain and Andrew Ilyas and Logan Engstrom and Eric Wong and Aleksander Madry,0.9644
Tight bounds for parallel paging and green paging,Green paging and parallel paging,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,0.9644
Equivariant contrastive learning,Equivariant self-supervised learning: Encouraging equivariance in representations,Rumen Dangovski and Li Jing and Charlotte Loh and Seungwook Han and Akash Srivastava and Brian Cheung and Pulkit Agrawal and Marin Soljačić,Rumen Dangovski and Li Jing and Charlotte Loh and Seungwook Han and Akash Srivastava and Brian Cheung and Pulkit Agrawal and Marin Soljacic,0.9643
Video action understanding,Video action understanding: A tutorial,Matthew S Hutchinson and Vijay N Gadepally,Matthew Hutchinson and Vijay Gadepally,0.9641
Revealing vision-language integration in the brain with multimodal networks,Workshop Submission: Using Multimodal DNNs to Study Vision-Language Integration in the Brain,Vighnesh Subramaniam and Colin Conwell and Christopher Wang and Gabriel Kreiman and Boris Katz and Ignacio Cases and Andrei Barbu,Vighnesh Subramaniam and Colin Conwell and Christopher Wang and Gabriel Kreiman and Boris Katz and Ignacio Cases and Andrei Barbu,0.9639
TENG: Time-evolving natural gradient for solving PDEs with deep neural nets toward machine precision,TENG: Time-Evolving Natural Gradient for Solving PDEs with Deep Neural Net,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,0.9639
Achieving optimal backlog in the vanilla multi-processor cup game,The variable-processor cup game,William Kuszmaul,William Kuszmaul and Alek Westover,0.9637
Designing and implementing an AI education program for learners with diverse background at scale,AI For Leadership: Implementation And Evaluation Of An AI Education Program,Andres F Salazar-Gomez and Aikaterini Bagiati and Nicholas Minicucci and Kathleen D Kennedy and Xiaoxue Du and Cynthia Breazeal,Aikaterini BAGIATI and Andrés F SALAZAR-GÓMEZ and Annalyn BACHMANN and Kathleen D KENNEDY and Cynthia BREAZEAL,0.9636
Achieving optimal backlog in the vanilla multi-processor cup game,Randomized cup game algorithms against strong adversaries,William Kuszmaul,Michael A Bender and William Kuszmaul,0.9635
Fast training of deep neural networks robust to adversarial perturbations,On frank-wolfe adversarial training,Justin Goodwin and Olivia Brown and Victoria Helus,Theodoros Tsiligkaridis and Jay Roberts,0.9634
The variable-processor cup game,Optimal time-backlog tradeoffs for the variable-processor cup game,William Kuszmaul and Alek Westover,William Kuszmaul and Shyam Narayanan,0.9632
DICE: data discovery by example,Examples are All You Need: Iterative Data Discovery by Example in Data Lakes,El Kindi Rezig and Anshul Bhandari and Anna Fariha and Benjamin Price and Allan Vanterpool and Vijay Gadepally and Michael Stonebraker,Anshul Bhandari El Kindi Rezig and Anna Fariha and Benjamin Price and Allan Vanterpool and Andrew Bowne and Lindsey McEvoy and Vijay Gadepally,0.9625
Achieving optimal backlog in multi-processor cup games,Randomized cup game algorithms against strong adversaries,Michael A Bender and Martín Farach-Colton and William Kuszmaul,Michael A Bender and William Kuszmaul,0.9621
Towards data discovery by example,Examples are All You Need: Iterative Data Discovery by Example in Data Lakes,El Kindi Rezig and Allan Vanterpool and Vijay Gadepally and Benjamin Price and Michael Cafarella and Michael Stonebraker,Anshul Bhandari El Kindi Rezig and Anna Fariha and Benjamin Price and Allan Vanterpool and Andrew Bowne and Lindsey McEvoy and Vijay Gadepally,0.9615
Effects of phase angle and sensor properties on on-orbit debris detection using commercial star trackers,Feasibility Analysis of On-Orbit Debris Detection Using Commercial Star Trackers,Allan Shtofenmakher and Hamsa Balakrishnan,Allan Shtofenmakher and Hamsa Balakrishnan,0.9612
Neural circuit policies enabling auditable autonomy,Interpretable autonomous flight via compact visualizable neural circuit policies,Mathias Lechner and Ramin Hasani and Alexander Amini and Thomas A Henzinger and Daniela Rus and Radu Grosu,Paul Tylkin and Tsun-Hsuan Wang and Kyle Palko and Ross Allen and Ho Chit Siu and Daniel Wrafter and Tim Seyde and Alexander Amini and Daniela Rus,0.9611
Combining Task Parallelism and Multithreaded Concurrency,Composing Parallel Runtime Systems: A Case Study in How to Compose the Julia and OpenCilk Runtimes,Sai Sameer Pusapaty,Tim Kralj,0.9604
Characterizing multi-instance gpu for machine learning workloads,DASH: Scheduling deep learning workloads on multi-generational GPU-accelerated clusters,Baolin Li and Viiay Gadepally and Siddharth Samsi and Devesh Tiwari,Baolin Li and Tirthak Patel and Vijay Gadepally and Karen Gettings and Siddharth Samsi and Devesh Tiwari,0.9596
Innovating AI Leadership Education,AI For Leadership: Implementation And Evaluation Of An AI Education Program,Xiaoxue Du and Sharifa Alghowinem and Matthew Taylor and Kate Darling and Cynthia Breazeal,Aikaterini BAGIATI and Andrés F SALAZAR-GÓMEZ and Annalyn BACHMANN and Kathleen D KENNEDY and Cynthia BREAZEAL,0.9594
Attention-Based Learning for Combinatorial Optimization,Decision Transformer-based Traveling Salesman Tour Generation,Carson Smith,Daniel S Liu,0.9593
On frank-wolfe adversarial training,Understanding frank-wolfe adversarial training,Theodoros Tsiligkaridis and Jay Roberts,T Tsiligkaridis and J Roberts,0.9589
Can learned models replace hash functions?,When Are Learned Models Better Than Hash Functions?(Extended Abstracts),Ibrahim Sabek and Kapil Vaidya and Dominik Horn and Andreas Kipf and Michael Mitzenmacher and Tim Kraska,Ibrahim Sabek and Kapil Vaidya and Dominik Horn and Andreas Kipf and Tim Kraska,0.9586
Binary dynamic time warping in linear time,Approximating dynamic time warping distance between run-length encoded strings,William Kuszmaul,Zoe Xi and William Kuszmaul,0.9585
